#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163657.380;20180524-163658.000;32.882305;-117.234904;4.0;247.4;180.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163657.882;20180524-163659.000;32.882297;-117.234922;3.0;232.2;185.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163658.402;20180524-163659.000;32.882297;-117.234922;3.0;232.2;192.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163658.897;20180524-163700.000;32.882324;-117.234897;3.0;221.7;246.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163659.399;20180524-163700.000;32.882316;-117.234902;3.0;221.7;220.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163659.901;20180524-163701.000;32.882316;-117.234902;3.0;215.5;243.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163700.400;20180524-163701.000;32.882317;-117.234916;3.0;215.5;256.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163700.899;20180524-163702.000;32.882317;-117.234916;3.0;220.1;262.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163701.403;20180524-163702.000;32.882312;-117.234918;3.0;220.1;267.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163701.906;20180524-163703.000;32.88232;-117.234901;4.0;220.1;240.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163702.387;20180524-163703.000;32.88232;-117.234901;4.0;220.1;273.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163702.892;20180524-163704.000;32.882302;-117.234883;4.0;233.0;259.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
