#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view;category;device muted;battery level
True;False;False;True;unity;DeviceLocationProvider;20220518-210726.782;20220518-210721.135;-22.81639100;-47.06772230;41.0;0.0;95.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210727.231;20220518-210721.135;-22.81639100;-47.06772230;41.0;0.0;95.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-210727.728;20220518-210721.135;-22.81639100;-47.06772230;41.0;0.0;96.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;False;0.6
True;False;True;True;unity;DeviceLocationProvider;20220518-212126.583;20220518-210727.487;-22.81607250;-47.06767650;44.0;2.7;88.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212127.691;20220518-212048.532;-22.81580350;-47.06784440;13.0;343.4;39.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212127.824;20220518-212048.532;-22.81580350;-47.06784440;13.0;343.4;39.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212128.303;20220518-212048.532;-22.81580350;-47.06784440;13.0;338.1;22.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212128.830;20220518-212048.532;-22.81580350;-47.06784440;13.0;335.6;11.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212129.339;20220518-212048.532;-22.81580350;-47.06784440;13.0;328.0;358.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212129.859;20220518-212048.532;-22.81580350;-47.06784440;13.0;328.0;357.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212130.335;20220518-212048.532;-22.81580350;-47.06784440;13.0;328.0;353.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212130.851;20220518-212048.532;-22.81580350;-47.06784440;13.0;328.0;359.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212131.343;20220518-212048.532;-22.81580350;-47.06784440;13.0;328.0;0.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212131.874;20220518-212048.532;-22.81580350;-47.06784440;13.0;328.0;1.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-212132.387;20220518-212048.532;-22.81580350;-47.06784440;13.0;328.0;356.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college math building, building;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-220323.984;20220518-213149.096;-22.81580730;-47.06786000;12.0;287.6;323.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-220323.992;20220518-213149.096;-22.81580730;-47.06786000;12.0;287.6;323.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;True;0.6
True;False;False;True;unity;DeviceLocationProvider;20220518-220324.609;20220518-213149.096;-22.81580730;-47.06786000;12.0;275.8;320.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider];college library, college libraries;True;0.6
